"","date","daily_temperature_2m_max","daily_temperature_2m_min","daily_sunshine_duration","daily_precipitation_sum","location"
"1",1940-01-01,NA,NA,NA,NA,"kyoto"
"2",1940-01-02,6.8,-2.2,32098.19,0,"kyoto"
"3",1940-01-03,7.1,-1.4,31631.27,0.8,"kyoto"
"4",1940-01-04,10.1,-1.1,31559.77,0.4,"kyoto"
"5",1940-01-05,12.3,4.5,31253.22,1.5,"kyoto"
"6",1940-01-06,14.6,-1,32132.05,3.3,"kyoto"
"7",1940-01-07,7.1,0.1,32098.58,0.8,"kyoto"
"8",1940-01-08,7.2,-1.3,32385.33,0.4,"kyoto"
"9",1940-01-09,1.8,-2.4,32443.33,0.5,"kyoto"
"10",1940-01-10,2.3,-2.7,32504.94,0.4,"kyoto"
"11",1940-01-11,5.3,-3.3,29443.12,0,"kyoto"
"12",1940-01-12,8.5,-1.6,30230.45,0,"kyoto"
"13",1940-01-13,9.3,-1.1,29934.09,0,"kyoto"
"14",1940-01-14,6.1,-0.7,22872.5,0.5,"kyoto"
"15",1940-01-15,3.9,-2.4,29530.94,0,"kyoto"
"16",1940-01-16,4.9,-3,32944.77,0,"kyoto"
"17",1940-01-17,8.1,-1.3,32297.78,0,"kyoto"
"18",1940-01-18,4.1,-2,29514.49,0.1,"kyoto"
"19",1940-01-19,3.9,-2.5,32304.76,0.2,"kyoto"
"20",1940-01-20,4.3,-3,33293.81,0,"kyoto"
"21",1940-01-21,4.9,-2.9,31509.69,0,"kyoto"
"22",1940-01-22,4.6,-0.8,32907.5,0,"kyoto"
"23",1940-01-23,4.1,-2.2,32568.27,0.3,"kyoto"
"24",1940-01-24,3.2,-3.5,33676.72,0.4,"kyoto"
"25",1940-01-25,3,-4.6,33776.7,0.8,"kyoto"
"26",1940-01-26,2.6,-3.6,33878.13,0.5,"kyoto"
"27",1940-01-27,2.4,-4.2,33980.87,0.5,"kyoto"
"28",1940-01-28,2.5,-3.8,34084.79,0.2,"kyoto"
"29",1940-01-29,3,-4.1,34189.82,0.9,"kyoto"
"30",1940-01-30,3.8,-3.5,34296.88,0.4,"kyoto"
"31",1940-01-31,3.9,-3.3,34406.36,0,"kyoto"
"32",1940-02-01,4.9,-3.1,30133.2,0,"kyoto"
"33",1940-02-02,5.9,-2.9,24264.64,5.3,"kyoto"
"34",1940-02-03,3.8,-4.8,27169.77,4,"kyoto"
"35",1940-02-04,2.9,-6.7,34788.9,0.2,"kyoto"
"36",1940-02-05,3.6,-6.7,33722.37,0,"kyoto"
"37",1940-02-06,3.6,-2.2,3600,5.9,"kyoto"
"38",1940-02-07,3.4,-3.3,34955.56,1.4,"kyoto"
"39",1940-02-08,2.5,-5.8,35013.91,0,"kyoto"
"40",1940-02-09,2.4,-6.2,35073.5,0.1,"kyoto"
"41",1940-02-10,4,-7.4,34833.02,0.1,"kyoto"
"42",1940-02-11,6.7,-5.9,35234.45,0,"kyoto"
"43",1940-02-12,6.5,-3.5,20081.11,0,"kyoto"
"44",1940-02-13,6,0.7,0,26.7,"kyoto"
"45",1940-02-14,7.6,0,27689.37,3.1,"kyoto"
"46",1940-02-15,6,-1.4,32521.43,0.2,"kyoto"
"47",1940-02-16,7.7,-2.2,34286.82,0.1,"kyoto"
"48",1940-02-17,5.7,-2.8,35585.39,0,"kyoto"
"49",1940-02-18,4.2,-2.9,35761.63,1,"kyoto"
"50",1940-02-19,8.3,-3,35111.39,0.1,"kyoto"
"51",1940-02-20,11.8,1.3,27043.3,1.7,"kyoto"
"52",1940-02-21,5.3,-2,26175.03,0,"kyoto"
"53",1940-02-22,3.1,-2.9,36553.4,1.3,"kyoto"
"54",1940-02-23,4.5,-2.5,36531.48,0,"kyoto"
"55",1940-02-24,8.8,-0.9,37234.89,0,"kyoto"
"56",1940-02-25,10.2,-0.8,8961.89,5.2,"kyoto"
"57",1940-02-26,4.8,-1.9,34262.36,0,"kyoto"
"58",1940-02-27,6.1,-1.8,37491.14,0,"kyoto"
"59",1940-02-28,8.6,-0.7,36217.54,0,"kyoto"
"60",1940-02-29,5.5,-2,37336.06,0,"kyoto"
"61",1940-03-01,5,-1.8,4411.92,1,"kyoto"
"62",1940-03-02,6.4,-2,26547.34,0,"kyoto"
"63",1940-03-03,9.6,-0.1,37769.99,0,"kyoto"
"64",1940-03-04,10.9,-1.3,27001.19,0.3,"kyoto"
"65",1940-03-05,12.3,2.5,17278.01,3.5,"kyoto"
"66",1940-03-06,13.8,2.9,32199.15,0.4,"kyoto"
"67",1940-03-07,13.4,1.6,37526.9,0,"kyoto"
"68",1940-03-08,15.4,3.6,37678.46,0,"kyoto"
"69",1940-03-09,15.2,4.9,26231.02,2.5,"kyoto"
"70",1940-03-10,9.7,0.5,38182.28,0,"kyoto"
"71",1940-03-11,14.6,-1.9,29752.23,10.7,"kyoto"
"72",1940-03-12,10.6,1.9,38989.47,0.1,"kyoto"
"73",1940-03-13,14.5,-2,39821.7,0,"kyoto"
"74",1940-03-14,11.5,6.1,35993.91,2.9,"kyoto"
"75",1940-03-15,9.7,0.5,16039.37,1,"kyoto"
"76",1940-03-16,7,-1.7,38848.66,0,"kyoto"
"77",1940-03-17,7.1,-2.3,38803.7,0.3,"kyoto"
"78",1940-03-18,7.6,-0.9,37349,0.4,"kyoto"
"79",1940-03-19,10.3,-0.5,40631.68,0,"kyoto"
"80",1940-03-20,13.5,0.3,31048.84,0,"kyoto"
"81",1940-03-21,13.1,1.8,40405.21,1.2,"kyoto"
"82",1940-03-22,6.3,-0.5,41035.04,1.4,"kyoto"
"83",1940-03-23,7.1,-0.5,41168.68,2.9,"kyoto"
"84",1940-03-24,7.5,-1.3,39143.26,0.1,"kyoto"
"85",1940-03-25,11.8,-0.4,41434.21,0,"kyoto"
"86",1940-03-26,12.7,-0.6,31496.56,0,"kyoto"
"87",1940-03-27,12.3,1.3,38901.26,0,"kyoto"
"88",1940-03-28,9.5,0.1,40339.11,0,"kyoto"
