"","date","daily_temperature_2m_max","daily_temperature_2m_min","daily_sunshine_duration","daily_precipitation_sum","location"
"1",1940-01-01,NA,NA,NA,NA,"liestal"
"2",1940-01-02,-3.8,-9,25669.42,0,"liestal"
"3",1940-01-03,0.3,-10.5,25581.96,0,"liestal"
"4",1940-01-04,2,-3.1,7200,0,"liestal"
"5",1940-01-05,3.3,-1,24918.27,0,"liestal"
"6",1940-01-06,3.8,-3.5,25914.68,0,"liestal"
"7",1940-01-07,1.8,-3.7,136.47,0.2,"liestal"
"8",1940-01-08,4.1,-0.4,9459.65,1.3,"liestal"
"9",1940-01-09,0.4,-6,18440.57,6,"liestal"
"10",1940-01-10,-5.9,-11.7,26250.83,0,"liestal"
"11",1940-01-11,-7.2,-12.3,26617.59,0,"liestal"
"12",1940-01-12,-2.9,-11.7,26793.21,0,"liestal"
"13",1940-01-13,0.9,-7.9,26894.62,0,"liestal"
"14",1940-01-14,1.8,-7.8,26986.1,0,"liestal"
"15",1940-01-15,1.7,-6.1,25706.99,0,"liestal"
"16",1940-01-16,-3,-6.4,25278.6,1,"liestal"
"17",1940-01-17,-2.4,-14.1,14382.17,1.6,"liestal"
"18",1940-01-18,-9.5,-17.4,27594.2,0,"liestal"
"19",1940-01-19,-10.6,-16.2,27784.14,0,"liestal"
"20",1940-01-20,-10.9,-17.2,25990.43,0.4,"liestal"
"21",1940-01-21,-7,-11.9,13132.65,2.7,"liestal"
"22",1940-01-22,-4.3,-11.1,22080.8,2,"liestal"
"23",1940-01-23,-8.1,-15.6,27849.27,0,"liestal"
"24",1940-01-24,-3.1,-16,28456.07,0,"liestal"
"25",1940-01-25,-4.7,-13.5,28572.69,0,"liestal"
"26",1940-01-26,-2.2,-14.3,28355.39,0,"liestal"
"27",1940-01-27,1.8,-4.7,1685.54,6.1,"liestal"
"28",1940-01-28,1.3,-5.5,19722.89,2.2,"liestal"
"29",1940-01-29,-2.7,-9.7,18012.8,0.2,"liestal"
"30",1940-01-30,-1,-3.8,0,7.2,"liestal"
"31",1940-01-31,0.2,-2.2,2674.63,3.6,"liestal"
"32",1940-02-01,1.1,-4.4,0,5.1,"liestal"
"33",1940-02-02,4.4,-1.6,29462.7,0.1,"liestal"
"34",1940-02-03,4.5,-2.3,26268.51,0,"liestal"
"35",1940-02-04,4.5,-2.9,133.44,2.4,"liestal"
"36",1940-02-05,7.4,-1.9,29403.65,0,"liestal"
"37",1940-02-06,7.6,-2.1,28075.98,1.1,"liestal"
"38",1940-02-07,7.2,-4.1,12574,2.3,"liestal"
"39",1940-02-08,7.4,2.7,22665.85,1,"liestal"
"40",1940-02-09,5.9,-1.5,27057.67,0.2,"liestal"
"41",1940-02-10,0.2,-7.7,28518.75,0.7,"liestal"
"42",1940-02-11,-0.1,-8.7,15346.47,0,"liestal"
"43",1940-02-12,2,-13.1,4379.07,4.4,"liestal"
"44",1940-02-13,-9.5,-15.6,28857.08,0.2,"liestal"
"45",1940-02-14,-10.2,-15.2,22156.38,1,"liestal"
"46",1940-02-15,-5.7,-11.1,572.55,3.8,"liestal"
"47",1940-02-16,-2.7,-12.8,17584.79,1.6,"liestal"
"48",1940-02-17,3.3,-12.1,16118.55,3.3,"liestal"
"49",1940-02-18,1.8,-3.8,24743.58,1.5,"liestal"
"50",1940-02-19,7.5,-3.3,0,11.4,"liestal"
"51",1940-02-20,6,-0.3,23911.71,1.1,"liestal"
"52",1940-02-21,7.7,-1.6,33225.48,0,"liestal"
"53",1940-02-22,10.1,-1.4,32816.65,0,"liestal"
"54",1940-02-23,11.9,0.8,27950.43,0,"liestal"
"55",1940-02-24,12.2,1.8,34532.56,0,"liestal"
"56",1940-02-25,10.3,-0.8,34629.33,0,"liestal"
"57",1940-02-26,8.9,-0.2,34725.74,0,"liestal"
"58",1940-02-27,12.2,0.1,35089.23,0,"liestal"
"59",1940-02-28,12.3,5.4,21765.95,0,"liestal"
"60",1940-02-29,12.6,3.3,20211.47,0,"liestal"
"61",1940-03-01,6.9,-0.1,12999.54,0,"liestal"
"62",1940-03-02,4.2,-5.1,36249.56,0,"liestal"
"63",1940-03-03,5.9,-5.4,36271.98,0,"liestal"
"64",1940-03-04,7.9,-3.4,36971.97,0,"liestal"
"65",1940-03-05,3.7,-2.7,22026.96,1.1,"liestal"
"66",1940-03-06,0.3,-3.3,34024,1.5,"liestal"
"67",1940-03-07,0.8,-3.4,35663.3,1.4,"liestal"
"68",1940-03-08,2,-3.8,33060.53,0.1,"liestal"
"69",1940-03-09,6.7,-4.8,38021.91,0,"liestal"
"70",1940-03-10,10.1,-4.3,38230.25,0,"liestal"
"71",1940-03-11,12.5,1.7,38416.32,0,"liestal"
"72",1940-03-12,14.3,2.1,22040.02,2.6,"liestal"
"73",1940-03-13,13.8,6.1,24245.39,4,"liestal"
"74",1940-03-14,14,2.9,24434.04,9.8,"liestal"
"75",1940-03-15,6.3,-2,38906.09,0.1,"liestal"
"76",1940-03-16,8.6,-2.9,38938.03,0,"liestal"
"77",1940-03-17,8.5,1,10538.15,4.6,"liestal"
"78",1940-03-18,17.6,5.5,25572.09,5.9,"liestal"
"79",1940-03-19,14.4,7.9,36000,0.1,"liestal"
"80",1940-03-20,10.4,5.2,35951.77,0,"liestal"
"81",1940-03-21,11.5,4.7,20141.56,0.4,"liestal"
"82",1940-03-22,16.7,2.6,39786.63,0.1,"liestal"
"83",1940-03-23,12.5,4.5,31138.43,3.3,"liestal"
"84",1940-03-24,15.8,2.6,39881.41,0,"liestal"
"85",1940-03-25,16.9,4.1,39600,0,"liestal"
"86",1940-03-26,17.2,7,33204.72,2.8,"liestal"
"87",1940-03-27,10.9,2.5,6627.53,11.6,"liestal"
"88",1940-03-28,3,-2.8,40107.57,1.3,"liestal"
"89",1940-03-29,5.1,-3.4,40584.98,1.3,"liestal"
"90",1940-03-30,3.7,-2.8,1684.35,3,"liestal"
"91",1940-03-31,10.4,2.6,32701.32,0.6,"liestal"
"92",1940-04-01,15.9,-0.4,42183.17,0,"liestal"
"93",1940-04-02,17.5,4.1,40669.1,1.7,"liestal"
"94",1940-04-03,9.7,7.5,14824.54,9.4,"liestal"
"95",1940-04-04,8.9,6,2496.17,11.4,"liestal"
"96",1940-04-05,8.6,3.3,24538.85,12.2,"liestal"
"97",1940-04-06,5,1,26398.6,1.7,"liestal"
"98",1940-04-07,11.1,0.5,43981.64,0,"liestal"
"99",1940-04-08,10.1,-1.9,33939.69,0.1,"liestal"
"100",1940-04-09,7,2.2,37014.53,2.1,"liestal"
"101",1940-04-10,7.3,3.1,31345.8,4.5,"liestal"
"102",1940-04-11,7.3,-0.4,43316.93,0.2,"liestal"
