"","date","daily_temperature_2m_max","daily_temperature_2m_min","daily_sunshine_duration","daily_precipitation_sum","location"
"1",1940-01-01,-1.6,-5.5,NA,NA,"newyorkcity"
"2",1940-01-02,-1.3,-5.9,28948.14,0,"newyorkcity"
"3",1940-01-03,0.4,-5.5,29272.33,0,"newyorkcity"
"4",1940-01-04,0.4,-5.3,29045.54,0,"newyorkcity"
"5",1940-01-05,2.3,-4.6,21805.04,0.3,"newyorkcity"
"6",1940-01-06,-2.3,-6.2,29535.28,0,"newyorkcity"
"7",1940-01-07,-2.8,-10.2,29053.21,0,"newyorkcity"
"8",1940-01-08,-1.8,-4.6,379.44,5.7,"newyorkcity"
"9",1940-01-09,-0.4,-6.9,29682.63,1,"newyorkcity"
"10",1940-01-10,1,-9,29705.56,0,"newyorkcity"
"11",1940-01-11,2.1,-7.8,21750.9,0,"newyorkcity"
"12",1940-01-12,3.2,1,0,5.5,"newyorkcity"
"13",1940-01-13,3.7,1.1,0,0,"newyorkcity"
"14",1940-01-14,8.9,1,0,31,"newyorkcity"
"15",1940-01-15,9.9,-1.2,29166.54,11.9,"newyorkcity"
"16",1940-01-16,-1.5,-4.1,26489.76,0,"newyorkcity"
"17",1940-01-17,-3.8,-7.8,17494.68,0.2,"newyorkcity"
"18",1940-01-18,-2.6,-8.1,22581.03,0.6,"newyorkcity"
"19",1940-01-19,-3.1,-11.1,20846.91,5.6,"newyorkcity"
"20",1940-01-20,-5.5,-13.9,31173.79,0,"newyorkcity"
"21",1940-01-21,-1.2,-9.5,31270.03,0,"newyorkcity"
"22",1940-01-22,0.6,-7.3,30787.11,0.1,"newyorkcity"
"23",1940-01-23,0.1,-8.3,29678.84,0,"newyorkcity"
"24",1940-01-24,-2.9,-7.4,8007.38,2.5,"newyorkcity"
"25",1940-01-25,-0.1,-9.4,31930.86,0,"newyorkcity"
"26",1940-01-26,-1.7,-8.9,32121.14,0,"newyorkcity"
"27",1940-01-27,-3.7,-11.5,32237,0,"newyorkcity"
"28",1940-01-28,-2.2,-11.5,32382,0,"newyorkcity"
"29",1940-01-29,0.1,-10.1,32514.89,0,"newyorkcity"
"30",1940-01-30,1.7,-6.9,31300.15,0,"newyorkcity"
"31",1940-01-31,0.9,-8.3,32789.38,0,"newyorkcity"
"32",1940-02-01,2.5,-7.9,32309.24,0,"newyorkcity"
"33",1940-02-02,0.4,-8,16824.89,4,"newyorkcity"
"34",1940-02-03,-1.5,-12.8,33220.2,0,"newyorkcity"
"35",1940-02-04,0.4,-9.4,29249.17,0,"newyorkcity"
"36",1940-02-05,2.5,-5.9,24576.29,0,"newyorkcity"
"37",1940-02-06,8.8,-3.4,12137.35,7.1,"newyorkcity"
"38",1940-02-07,9,0.5,4050.6,0.7,"newyorkcity"
"39",1940-02-08,3.5,-3.1,30705.84,0,"newyorkcity"
"40",1940-02-09,7.5,-2.5,22481.98,0,"newyorkcity"
"41",1940-02-10,7.9,-0.3,950.56,7.5,"newyorkcity"
"42",1940-02-11,9.6,0.5,28653.87,10,"newyorkcity"
"43",1940-02-12,6.1,-2,31021.24,0,"newyorkcity"
"44",1940-02-13,6,0.5,8121.56,3.8,"newyorkcity"
"45",1940-02-14,0.2,-1.7,0,38.4,"newyorkcity"
"46",1940-02-15,1.4,-5,28242.09,6.1,"newyorkcity"
"47",1940-02-16,2,-8.9,34998.12,0,"newyorkcity"
"48",1940-02-17,3.2,-11.2,35111.34,0,"newyorkcity"
"49",1940-02-18,1.7,-6.4,26214.14,3.7,"newyorkcity"
"50",1940-02-19,2,-0.4,0,25.9,"newyorkcity"
"51",1940-02-20,1.9,0.5,521.46,7.4,"newyorkcity"
"52",1940-02-21,2.1,-5.6,24251.4,0.6,"newyorkcity"
"53",1940-02-22,-1,-10.1,35794.06,0,"newyorkcity"
"54",1940-02-23,1.4,-10.6,35900.3,0,"newyorkcity"
"55",1940-02-24,3.2,-8.5,20006.52,1.7,"newyorkcity"
