"","date","daily_temperature_2m_max","daily_temperature_2m_min","daily_sunshine_duration","daily_precipitation_sum","location"
"1",1940-01-01,-2.3,-7.6,NA,NA,"washingtondc"
"2",1940-01-02,-3.3,-8.1,30447.05,0,"washingtondc"
"3",1940-01-03,-2,-8.8,30507.86,0,"washingtondc"
"4",1940-01-04,-0.2,-7.5,14400,0.4,"washingtondc"
"5",1940-01-05,6.3,-7.3,28800,0,"washingtondc"
"6",1940-01-06,-1.2,-8.1,30667.24,0,"washingtondc"
"7",1940-01-07,-0.8,-7.9,25200,1.9,"washingtondc"
"8",1940-01-08,2.1,-2.6,25385.76,2.9,"washingtondc"
"9",1940-01-09,0.1,-5.7,30841.71,0,"washingtondc"
"10",1940-01-10,1.5,-7,10826.36,0,"washingtondc"
"11",1940-01-11,2.1,-8.4,3102.7,0.1,"washingtondc"
"12",1940-01-12,4.3,0.2,5071.24,3.8,"washingtondc"
"13",1940-01-13,6.8,0,17562.3,0,"washingtondc"
"14",1940-01-14,12.6,3.5,0,18.5,"washingtondc"
"15",1940-01-15,6.8,-0.8,31302.53,0,"washingtondc"
"16",1940-01-16,2.3,-3,30483.36,0,"washingtondc"
"17",1940-01-17,2.1,-3.3,24147.46,0,"washingtondc"
"18",1940-01-18,2.8,-4.2,30745.13,0.3,"washingtondc"
"19",1940-01-19,-2.2,-12.8,31514.67,5.7,"washingtondc"
"20",1940-01-20,-4.2,-14.4,31724.49,0,"washingtondc"
"21",1940-01-21,-1,-11.3,31853.44,0,"washingtondc"
"22",1940-01-22,2.5,-9.5,31936.14,0,"washingtondc"
"23",1940-01-23,-0.6,-6.5,5403.2,2.5,"washingtondc"
"24",1940-01-24,0.2,-4.7,13880.67,20.6,"washingtondc"
"25",1940-01-25,-2.7,-9.4,32120.28,0,"washingtondc"
"26",1940-01-26,-4.2,-11.2,32396.27,0,"washingtondc"
"27",1940-01-27,-4.5,-14.6,32552.96,0,"washingtondc"
"28",1940-01-28,-2.8,-14.2,32642.59,0,"washingtondc"
"29",1940-01-29,-0.9,-12.7,17137.2,0,"washingtondc"
"30",1940-01-30,2.3,-10.3,32820.51,0,"washingtondc"
"31",1940-01-31,2.1,-10.5,31078.36,0,"washingtondc"
"32",1940-02-01,3.9,-14.3,33104.57,0,"washingtondc"
"33",1940-02-02,1.7,-11.2,32671.53,0.3,"washingtondc"
"34",1940-02-03,0.2,-12.6,33528.45,0,"washingtondc"
"35",1940-02-04,4.3,-10.4,32400,0.1,"washingtondc"
"36",1940-02-05,6.4,-2.6,32400,0.2,"washingtondc"
"37",1940-02-06,10.8,-2.8,1359.78,6.6,"washingtondc"
"38",1940-02-07,10.7,0.4,5753.73,0.5,"washingtondc"
"39",1940-02-08,5.7,-3.4,29050.56,0,"washingtondc"
"40",1940-02-09,10.9,-1.9,33951.44,0,"washingtondc"
"41",1940-02-10,14,0.2,0,12.7,"washingtondc"
"42",1940-02-11,14,1.4,31123.72,5.9,"washingtondc"
"43",1940-02-12,11.7,-1.4,25566.73,0,"washingtondc"
"44",1940-02-13,7.2,3.5,15518.82,2.2,"washingtondc"
"45",1940-02-14,5.5,-2.2,0,30.8,"washingtondc"
"46",1940-02-15,3,-4.3,35380.16,0.6,"washingtondc"
"47",1940-02-16,5.4,-6.7,35583.87,0,"washingtondc"
"48",1940-02-17,4.7,-5.2,35104.38,0,"washingtondc"
"49",1940-02-18,6.7,-3.4,0,17.5,"washingtondc"
"50",1940-02-19,8.5,2.5,0,11.9,"washingtondc"
"51",1940-02-20,3.8,1.3,1152.8,4.4,"washingtondc"
"52",1940-02-21,4.2,-2,36393.37,0,"washingtondc"
"53",1940-02-22,3.8,-4.6,36343.27,0,"washingtondc"
"54",1940-02-23,3.9,-2.3,36450.52,0,"washingtondc"
"55",1940-02-24,6.9,-3.2,7557.32,1.5,"washingtondc"
"56",1940-02-25,5.5,-2.4,30938.96,0.4,"washingtondc"
"57",1940-02-26,1.9,-5.7,37164.9,0,"washingtondc"
"58",1940-02-27,4.4,-3.8,0,5.9,"washingtondc"
"59",1940-02-28,11.4,-0.2,26301.96,0.5,"washingtondc"
"60",1940-02-29,8.7,0.9,34929.39,0.5,"washingtondc"
"61",1940-03-01,13.2,1.1,27019.34,0,"washingtondc"
"62",1940-03-02,4.2,2.7,0,8.5,"washingtondc"
"63",1940-03-03,12.9,3.9,0,20.4,"washingtondc"
"64",1940-03-04,12.5,5.4,1339.92,4.3,"washingtondc"
"65",1940-03-05,10.9,3,38392.58,0,"washingtondc"
"66",1940-03-06,8.5,0.6,34856.37,0,"washingtondc"
"67",1940-03-07,9.7,-0.7,38519.72,0,"washingtondc"
"68",1940-03-08,8.6,-0.7,35430.89,0,"washingtondc"
"69",1940-03-09,8.2,-0.6,38645.2,0,"washingtondc"
"70",1940-03-10,8.3,-1,30883.3,0,"washingtondc"
"71",1940-03-11,5.5,-3.8,36354.41,0,"washingtondc"
"72",1940-03-12,5.6,-4,34406.69,0.6,"washingtondc"
"73",1940-03-13,4.7,0.4,0,1.6,"washingtondc"
"74",1940-03-14,8.4,1.3,0,32.6,"washingtondc"
"75",1940-03-15,5,-0.9,38112.25,0,"washingtondc"
"76",1940-03-16,11.2,-2.6,31949.54,0,"washingtondc"
"77",1940-03-17,15,-2,39651.82,0,"washingtondc"
"78",1940-03-18,17.2,1.4,40012.41,0.9,"washingtondc"
"79",1940-03-19,14.3,5.2,35652.27,1,"washingtondc"
"80",1940-03-20,15.8,1.4,39758.34,0.1,"washingtondc"
"81",1940-03-21,9.4,-1,40886.45,0,"washingtondc"
"82",1940-03-22,8.5,-0.2,38605.55,0.9,"washingtondc"
"83",1940-03-23,5,-3.6,40403,0,"washingtondc"
"84",1940-03-24,2.9,-4.6,32863.66,0,"washingtondc"
