latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.0,135.6875,31.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),precipitation_sum (mm)
2024-02-29,8.4,3.7,1913.66,29.20
2024-03-01,10.1,-1.9,24435.79,0.30
2024-03-02,5.2,-2.9,36151.27,0.00
2024-03-03,9.3,3.0,38560.87,0.00
2024-03-04,13.3,5.8,34240.46,10.60
2024-03-05,7.9,6.3,0.00,16.10
2024-03-06,10.1,3.4,22910.54,0.90
2024-03-07,8.8,3.1,22682.86,0.00
2024-03-08,11.4,1.8,39239.39,0.00
2024-03-09,8.3,2.2,38953.02,0.00
2024-03-10,11.4,4.9,39507.18,0.00
2024-03-11,12.7,7.2,39640.15,0.00
2024-03-12,8.3,6.5,19434.54,11.10
2024-03-13,12.1,6.5,20363.78,0.00
2024-03-14,14.3,5.2,40036.84,0.00
2024-03-15,16.0,8.7,NaN,NaN
