latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.228252,-123.18309,28.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),precipitation_sum (mm)
2024-02-29,8.7,1.6,3600.00,12.20
2024-03-01,4.4,1.4,18000.00,1.50
2024-03-02,4.1,0.2,35061.39,0.30
2024-03-03,2.5,-3.4,32757.04,0.20
2024-03-04,2.9,-0.3,34882.10,0.10
2024-03-05,4.7,0.4,36833.33,0.00
2024-03-06,5.3,0.1,37589.45,0.00
2024-03-07,5.2,-0.2,21976.88,0.00
2024-03-08,6.2,1.7,11686.65,2.40
2024-03-09,5.7,2.3,1067.24,6.00
2024-03-10,6.4,3.9,0.00,2.40
2024-03-11,9.2,4.1,18986.38,2.10
2024-03-12,8.5,3.2,25979.99,0.00
2024-03-13,8.3,5.0,38610.55,0.00
2024-03-14,7.7,4.5,38853.72,0.00
2024-03-15,5.9,4.5,NaN,NaN
